Aircraft TypeDesignator,Class,Number+Engine Type,"MANUFACTURER, Model"
AA1,LandPlane,1/Piston,"GRUMMAN AMERICAN, AA-1 Lynx"
AA37,LandPlane,2/Piston,"AEROPRACT, A-37"
AA5,LandPlane,1/Piston,"GRUMMAN AMERICAN, AA-5 Traveler"
AAT3,LandPlane,1/Piston,"AERO, AT-3"
AAT4,LandPlane,1/Piston,"AERO, AT-4"
AB11,LandPlane,1/Piston,"AERO BOERO, AB-115"
AB15,LandPlane,1/Piston,"AERO BOERO, AB-150"
AB18,LandPlane,1/Piston,"AERO BOERO, AB-180"
AB95,LandPlane,1/Piston,"AERO BOERO, AB-95"
AC10,Gyrocopter,1/Piston,"FD-COMPOSITES, ArrowCopter"
AC11,LandPlane,1/Piston,"NORTH AMERICAN ROCKWELL, Commander 112"
AC31,Helicopter,1/Turboprop/Turboshaft,"AVICOPTER, AC-311"
AC33,Helicopter,3/Turboprop/Turboshaft,"AVICOPTER, AC-313"
AC4,LandPlane,1/Piston,"LIGHT WING, AC-4"
AC50,LandPlane,2/Piston,"AERO (1), Commander 500"
AC52,LandPlane,2/Piston,"AERO (1), Commander 520"
AC56,LandPlane,2/Piston,"AERO (1), Commander 560"
AC5A,LandPlane,1/Piston,"NANJING, AC-500 Aircar"
AC5M,LandPlane,1/Piston,"AVIASTROITEL, AC-5M"
AC68,LandPlane,2/Piston,"AERO (1), Commander 680 Super"
AC6L,LandPlane,2/Piston,"NORTH AMERICAN ROCKWELL, Commander 685"
AC72,LandPlane,2/Piston,"AERO (1), Commander 720 Alti Cruiser"
AC80,LandPlane,2/Turboprop/Turboshaft,"AERO COMMANDER, 680T Turbo Commander"
AC90,LandPlane,2/Turboprop/Turboshaft,"NORTH AMERICAN ROCKWELL, Turbo Commander 690"
AC95,LandPlane,2/Turboprop/Turboshaft,"ROCKWELL, Jetprop Commander 1000"
ACAM,LandPlane,2/Piston,"LOCKWOOD, Air Cam"
ACAR,LandPlane,1/Piston,"AUSTER, J-5 Autocar"
ACED,LandPlane,1/Piston,"POWELL, P-70 Acey Deucy"
ACJR,Amphibian,1/Piston,"SPENCER, Air Car Junior"
ACPL,LandPlane,1/Piston,"OPTION AIR, Acapella"
ACR2,LandPlane,1/Piston,"ACRO SPORT, Acro-Sport 2"
ACRD,LandPlane,2/Piston,"AVIA (3), Accord"
ACRO,LandPlane,1/Piston,"ACRO SPORT, Acro-Sport 1"
ACSR,LandPlane,1/Piston,"VICTA, Aircruiser"
AD20,LandPlane,1/Piston,"BEIJING KEYUAN, AD-200"
ADEL,Gyrocopter,1/Piston,"USTINOV, Adel"
ADVE,LandPlane,1/Piston,"AUSTER, J-5 Adventurer"
ADVN,Amphibian,1/Piston,"ADVENTURE AIR, Adventurer"
AE45,LandPlane,2/Piston,"LET, Aero 45"
AEA1,LandPlane,1/Piston,"AMERICAN EAGLE, A-1"
AERK,LandPlane,1/Piston,"AERONCA, K Scout"
AEST,LandPlane,2/Piston,"AEROSTAR (1), 600"
AFOX,LandPlane,1/Piston,"HALLEY, Apollo Fox"
AG02,LandPlane,1/Piston,"GATARD, AG-02 Poussin"
AG1,Gyrocopter,1/Piston,"HALLEY, Apollo AG-1 Gyro"
AG10,LandPlane,1/Piston,"CAIGA, AG-100"
AG60,Amphibian,4/Turboprop/Turboshaft,"CAIGA, AG-600 Kunlong"
AGSH,Amphibian,1/Piston,"AERO GARE, Sea Hawker"
AI10,LandPlane,1/Piston,"IKAR, Ai-10 Ikar"
AIGT,LandPlane,1/Piston,"AUSTER, J-5F Aiglet Trainer"
AIRD,LandPlane,1/Piston,"BEAGLE-AUSTER, A-109 Airedale"
AIRL,LandPlane,2/Piston,"AERONIX, Airelle"
AJ27,LandPlane,2/Jet,"COMAC, ARJ-21-700"
AJET,LandPlane,2/Jet,"DASSAULT-DORNIER, Alpha Jet"
AK1,LandPlane,1/Piston,"AKAFLIEG KARLSRUHE, AK-1"
AKOY,Amphibian,1/Piston,"LISA, Akoya"
AKRO,LandPlane,1/Piston,"STEPHENS, Akro"
ALBU,LandPlane,1/Piston,"AVIATION DEVELOPMENT, Alaskan Bushmaster"
ALC1,LandPlane,1/Piston,"ALTAIR COELHO, AC-11"
ALGR,LandPlane,1/Piston,"FANTASY AIR, Allegro"
ALH,Helicopter,2/Turboprop/Turboshaft,"HINDUSTAN, ALH Dhruv"
ALIG,LandPlane,1/Piston,"ARION, LS-1 Lightning"
ALIZ,LandPlane,1/Turboprop/Turboshaft,"BREGUET, 1050 Alizé"
ALO2,Helicopter,1/Turboprop/Turboshaft,"AEROSPATIALE, Alouette 2"
ALO3,Helicopter,1/Turboprop/Turboshaft,"AEROSPATIALE, Alouette 3"
ALPI,LandPlane,1/Piston,"AUSTER, J-5R Alpine"
ALSL,LandPlane,1/Piston,"AIRLONY, Skylane"
ALTO,LandPlane,1/Piston,"DIRECT FLY, Alto"
AM3,LandPlane,1/Piston,"AERITALIA-AERMACCHI, AM-3"
AMX,LandPlane,1/Jet,"AMX, AMX"
AN12,LandPlane,4/Turboprop/Turboshaft,"ANTONOV, An-12"
AN2,LandPlane,1/Piston,"ANTONOV, An-2"
AN22,LandPlane,4/Turboprop/Turboshaft,"ANTONOV, An-22 Antheus"
AN24,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-24"
AN26,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-26"
AN28,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-28"
AN3,LandPlane,1/Turboprop/Turboshaft,"ANTONOV, An-3"
AN30,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-30"
AN32,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-32"
AN38,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-38"
AN70,LandPlane,4/Turboprop/Turboshaft,"ANTONOV, An-70"
AN72,LandPlane,2/Jet,"ANTONOV, An-72"
AN8,LandPlane,2/Turboprop/Turboshaft,"ANTONOV, An-8"
ANGL,LandPlane,2/Piston,"KING'S, 44 Angel"
ANKA,LandPlane,1/Piston,"TAI, Anka"
ANSN,LandPlane,2/Piston,"AVRO, 652 Anson"
ANST,Helicopter,2/Turboprop/Turboshaft,"KAZAN, Ansat"
AP20,LandPlane,1/Piston,"AEROPRAKT, A-20"
AP22,LandPlane,1/Piston,"AEROPRAKT, A-22"
AP24,Amphibian,1/Piston,"AEROPRAKT, A-24 Viking"
AP26,LandPlane,2/Piston,"AEROPRAKT, A-26 Twin Vista"
AP28,LandPlane,2/Piston,"AEROPRAKT, A-28 Victor"
AP32,LandPlane,1/Piston,"AEROPRAKT, A-32 Vixxen"
AP36,LandPlane,2/Piston,"AEROPRAKT, A-36 Vulcan"
APM2,LandPlane,1/Piston,"ISSOIRE, APM-20 Lionceau"
APM3,LandPlane,1/Piston,"ISSOIRE, APM-30 Lion"
APM4,LandPlane,1/Piston,"ISSOIRE, APM-40 Simba"
APUP,LandPlane,1/Piston,"AEROPUP, Aeropup"
AR1,Gyrocopter,1/Piston,"SILVERLIGHT, AR-1 American Ranger 1"
AR11,LandPlane,1/Piston,"AERONCA, 11 Chief"
AR15,LandPlane,1/Piston,"AERONCA, 15 Sedan"
AR50,LandPlane,1/Piston,"AERONCA, 50 Chief"
AR5T,LandPlane,1/Piston,"AERONCA, 50 Tandem"
AR65,LandPlane,1/Piston,"AERONCA, 65 Super Chief"
AR6T,LandPlane,1/Piston,"AERONCA, 60 Tandem"
AR79,LandPlane,1/Piston,"ARADO, Ar-79"
ARC3,LandPlane,1/Piston,"AERONCA, 3 Collegain"
ARCE,LandPlane,1/Electric,"SCHEMPP-HIRTH, Arcus E"
ARCP,LandPlane,1/Piston,"SCHEMPP-HIRTH, Arcus T"
ARES,LandPlane,1/Jet,"SCALED, Ares"
ARKS,LandPlane,1/Piston,"ACEAIR, A-200 Aeriks 200"
ARON,LandPlane,1/Piston,"GENERAL AVIA, F-220 Airone"
ARV1,LandPlane,1/Piston,"ARV, Super 2"
ARVA,LandPlane,2/Turboprop/Turboshaft,"IAI, 201 Arava"
ARWF,LandPlane,1/Piston,"ARROW (1), F Sport"
AS02,LandPlane,1/Piston,"FFA, AS-202-15 Bravo"
AS14,LandPlane,1/Piston,"SCHLEICHER, ASK-14"
AS16,LandPlane,1/Piston,"SCHLEICHER, ASK-16"
AS20,LandPlane,1/Piston,"SCHLEICHER, ASW-20TOP"
AS21,LandPlane,1/Piston,"SCHLEICHER, ASK-21Mi"
AS22,LandPlane,1/Piston,"SCHLEICHER, ASW-22M"
AS24,LandPlane,1/Piston,"SCHLEICHER, ASW-24E"
AS25,LandPlane,1/Piston,"SCHLEICHER, ASH-25M"
AS26,LandPlane,1/Piston,"SCHLEICHER, ASH-26E"
AS28,LandPlane,1/Piston,"SCHLEICHER, ASW-28E"
AS29,LandPlane,1/Piston,"SCHLEICHER, ASG-29E"
AS2T,LandPlane,1/Turboprop/Turboshaft,"FFA, AS-202-32TP Turbine Bravo"
AS30,LandPlane,1/Piston,"SCHLEICHER, ASH-30Mi"
AS31,LandPlane,1/Piston,"SCHLEICHER, ASH-31Mi"
AS32,Helicopter,2/Turboprop/Turboshaft,"AEROSPATIALE, AS-532 Cougar"
AS3B,Helicopter,2/Turboprop/Turboshaft,"AEROSPATIALE, AS-532A2 Cougar Mk2"
AS50,Helicopter,1/Turboprop/Turboshaft,"AEROSPATIALE, AS-350 Ecureuil"
AS55,Helicopter,2/Turboprop/Turboshaft,"AEROSPATIALE, AS-355 Ecureuil 2"
AS65,Helicopter,2/Turboprop/Turboshaft,"AEROSPATIALE, AS-365 Dauphin 2"
AS80,LandPlane,1/Piston,"STARCK, AS-80 Holiday"
ASO4,LandPlane,1/Piston,"ASSO AEREI, Asso 4 Whisky"
ASO5,LandPlane,1/Piston,"ASSO AEREI, Asso 5 Champion"
ASOX,LandPlane,1/Piston,"ASSO AEREI, Asso 10 Jewel"
ASTO,LandPlane,1/Piston,"TECNAM, Astore"
ASTR,LandPlane,2/Jet,"IAI, 1125 Astra"
AT2P,LandPlane,1/Piston,"AIR TRACTOR, AT-250"
AT3,LandPlane,2/Jet,"AIDC, AT-3 Tzu-Chung"
AT3P,LandPlane,1/Piston,"AIR TRACTOR, AT-300"
AT3T,LandPlane,1/Turboprop/Turboshaft,"AIR TRACTOR, AT-302"
AT43,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-42-300"
AT44,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-42-400"
AT45,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-42-500"
AT46,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-42-600"
AT5P,LandPlane,1/Piston,"AIR TRACTOR, AT-501"
AT5T,LandPlane,1/Turboprop/Turboshaft,"AIR TRACTOR, AT-502"
AT6T,LandPlane,1/Turboprop/Turboshaft,"AIR TRACTOR, AT-602"
AT72,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-72-201"
AT73,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-72-211"
AT75,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-72-212A (500)"
AT76,LandPlane,2/Turboprop/Turboshaft,"ATR, ATR-72-212A (600)"
AT8T,LandPlane,1/Turboprop/Turboshaft,"AIR TRACTOR, AT-802"
ATAC,LandPlane,1/Piston,"AIRCRAFT TECHNOLOGIES, Acro 1"
ATG1,LandPlane,2/Jet,"ATG, ATG-1 Javelin"
ATIS,LandPlane,1/Piston,"AIRCRAFT TECHNOLOGIES, Atlantis"
ATL,LandPlane,1/Piston,"ROBIN, ATL"
ATLA,LandPlane,2/Turboprop/Turboshaft,"DASSAULT, Atlantique 2"
ATP,LandPlane,2/Turboprop/Turboshaft,"BRITISH AEROSPACE, ATP"
AU11,LandPlane,1/Piston,"BEAGLE-AUSTER, Auster AOP11"
AUJ2,LandPlane,1/Piston,"AUSTER, J-2 Arrow"
AUJ4,LandPlane,1/Piston,"AUSTER, J-4 Archer"
AURA,LandPlane,1/Piston,"SUNWARD, SA60 Aurora"
AUS3,LandPlane,1/Piston,"TAYLORCRAFT (2), Auster 3"
AUS4,LandPlane,1/Piston,"TAYLORCRAFT (2), Auster 4"
AUS5,LandPlane,1/Piston,"TAYLORCRAFT (2), Auster 5"
AUS6,LandPlane,1/Piston,"AUSTER, Auster AOP6"
AUS7,LandPlane,1/Piston,"AUSTER, Auster T7"
AUS9,LandPlane,1/Piston,"AUSTER, Auster AOP9"
AV68,LandPlane,1/Piston,"ALPLA, AVO-68 Samburo"
AVAM,Amphibian,1/Piston,"AVID, Avid Amphibian"
AVID,LandPlane,1/Piston,"LIGHT AERO, Avid Flyer"
AVIN,LandPlane,1/Piston,"AVRO, 594 Avian"
AVK4,LandPlane,2/Turboprop/Turboshaft,"AVTEK, 400"
AVLN,Amphibian,1/Turboprop/Turboshaft,"AIRMASTER, Avalon 680"
AVTR,Amphibian,1/Piston,"AERO ADVENTURE, Aventura 2"
B06,Helicopter,1/Turboprop/Turboshaft,"BELL, 206B JetRanger"
B06T,Helicopter,2/Turboprop/Turboshaft,"BELL, 206LT TwinRanger"
B1,LandPlane,4/Jet,"ROCKWELL, B-1 Lancer"
B103,Amphibian,2/Piston,"BERIEV, Be-103 Bekas"
B105,Helicopter,2/Turboprop/Turboshaft,"MBB, BO-105"
B13,LandPlane,1/Piston,"AKAFLIEG BERLIN, B-13"
B14A,LandPlane,1/Piston,"BELLANCA, 14 Cruisair"
B14B,LandPlane,1/Piston,"DOWNER, 14 Bellanca 260"
B14C,LandPlane,1/Piston,"BELLANCA, 14 Bellanca 260C"
B150,Helicopter,1/Turboprop/Turboshaft,"WINNER, B-150"
B17,LandPlane,4/Piston,"BOEING, B-17 Flying Fortress"
B18T,LandPlane,2/Turboprop/Turboshaft,"BEECH, 18 (turbine)"
B190,LandPlane,2/Turboprop/Turboshaft,"BEECH, 1900"
B2,LandPlane,4/Jet,"NORTHROP GRUMMAN, B-2 Spirit"
B209,LandPlane,1/Piston,"MBB, BO-209 Monsun"
B212,Helicopter,1/Turboprop/Turboshaft,"BELL, 212"
B214,Helicopter,1/Turboprop/Turboshaft,"BELL, 214B"
B222,Helicopter,1/Turboprop/Turboshaft,"BELL, 222"
B23,LandPlane,2/Piston,"DOUGLAS, B-23 Dragon"
B230,Helicopter,2/Turboprop/Turboshaft,"BELL, 230"
B23E,LandPlane,1/Electric,"BRM AERO, Bristell B23 Energic"
B24,LandPlane,4/Piston,"CONSOLIDATED, B-24 Liberator"
B25,LandPlane,2/Piston,"NORTH AMERICAN, B-25 Mitchell"
B26,LandPlane,2/Piston,"DOUGLAS, B-26 Invader"
B26M,LandPlane,2/Piston,"MARTIN, B-26 Marauder"
B29,LandPlane,4/Piston,"BOEING, B-29 Superfortress"
B305,Helicopter,1/Piston,"BRANTLY, 305"
B350,LandPlane,2/Turboprop/Turboshaft,"BEECH, Super King Air 350"
B360,LandPlane,1/Piston,"YAKOVLEV AIRCRAFT, Bear 360"
B36T,LandPlane,1/Turboprop/Turboshaft,"BEECH, 36 Bonanza (turbine)"
B37M,LandPlane,2/Jet,"BOEING, 737 MAX 7"
B38M,LandPlane,2/Jet,"BOEING, 737 MAX 8"
B39M,LandPlane,2/Jet,"BOEING, 737 MAX 9"
B3XM,LandPlane,2/Jet,"BOEING, 737 MAX 10"
B407,Helicopter,1/Turboprop/Turboshaft,"BELL, 407"
B412,Helicopter,2/Turboprop/Turboshaft,"BELL, 412"
B427,Helicopter,2/Turboprop/Turboshaft,"BELL, 427"
B429,Helicopter,2/Turboprop/Turboshaft,"BELL, 429 GlobalRanger"
B430,Helicopter,2/Turboprop/Turboshaft,"BELL, 430"
B461,LandPlane,4/Jet,"BRITISH AEROSPACE, BAe-146-100"
B462,LandPlane,4/Jet,"BRITISH AEROSPACE, BAe-146-200"
B463,LandPlane,4/Jet,"BRITISH AEROSPACE, BAe-146-300"
B47G,Helicopter,1/Piston,"BELL, 47G"
B47J,Helicopter,1/Piston,"BELL, 47J Ranger"
B47T,Helicopter,1/Turboprop/Turboshaft,"SOLOY, Bell 47"
B505,Helicopter,1/Turboprop/Turboshaft,"BELL, 505 Jet Ranger X"
B52,LandPlane,8/Jet,"BOEING, B-52 Stratofortress"
B525,Helicopter,2/Turboprop/Turboshaft,"BELL, 525 Relentless"
B58T,LandPlane,2/Piston,"BEECH, 58P Pressurized Baron"
B60,LandPlane,1/Piston,"BOISAVIA, B-60 Mercurey"
B609,Tiltrotor,2/Turboprop/Turboshaft,"BELL-AGUSTA, BA-609"
B60T,LandPlane,2/Turboprop/Turboshaft,"BEECH, 60 Royal Turbine Duke"
B701,LandPlane,4/Jet,"BOEING, 707-100"
B703,LandPlane,4/Jet,"BOEING, 707-300"
B712,LandPlane,2/Jet,"BOEING, 717-200"
B720,LandPlane,4/Jet,"BOEING, 720"
B721,LandPlane,3/Jet,"BOEING, 727-100"
B722,LandPlane,3/Jet,"BOEING, 727-200"
B732,LandPlane,2/Jet,"BOEING, 737-200"
B733,LandPlane,2/Jet,"BOEING, 737-300"
B734,LandPlane,2/Jet,"BOEING, 737-400"
B735,LandPlane,2/Jet,"BOEING, 737-500"
B736,LandPlane,2/Jet,"BOEING, 737-600"
B737,LandPlane,2/Jet,"BOEING, 737-700"
B738,LandPlane,2/Jet,"BOEING, 737-800"
B739,LandPlane,2/Jet,"BOEING, 737-900"
B741,LandPlane,4/Jet,"BOEING, 747-100"
B742,LandPlane,4/Jet,"BOEING, 747-200"
B743,LandPlane,4/Jet,"BOEING, 747-300"
B744,LandPlane,4/Jet,"BOEING, 747-400"
B748,LandPlane,4/Jet,"BOEING, 747-8"
B74R,LandPlane,4/Jet,"BOEING, 747SR"
B74S,LandPlane,4/Jet,"BOEING, 747SP"
B752,LandPlane,2/Jet,"BOEING, 757-200"
B753,LandPlane,2/Jet,"BOEING, 757-300"
B762,LandPlane,2/Jet,"BOEING, 767-200"
B763,LandPlane,2/Jet,"BOEING, 767-300"
B764,LandPlane,2/Jet,"BOEING, 767-400"
B772,LandPlane,2/Jet,"BOEING, 777-200ER"
B773,LandPlane,2/Jet,"BOEING, 777-300"
B778,LandPlane,2/Jet,"BOEING, 777-8"
B779,LandPlane,2/Jet,"BOEING, 777-9"
B77L,LandPlane,2/Jet,"BOEING, 777-200LR"
B77W,LandPlane,2/Jet,"BOEING, 777-300ER"
B788,LandPlane,2/Jet,"BOEING, 787-8 Dreamliner"
B789,LandPlane,2/Jet,"BOEING, 787-9 Dreamliner"
B78X,LandPlane,2/Jet,"BOEING, 787-10 Dreamliner"
BA11,LandPlane,2/Jet,"BAC, 111 One-Eleven"
BABY,Helicopter,1/Piston,"CANADIAN HOME ROTORS, Baby Belle"
BAR6,LandPlane,1/Piston,"BARR, BarrSix"
BARC,LandPlane,1/Piston,"BUETHE, Barracuda"
BASS,LandPlane,2/Piston,"BEAGLE, B-206"
BBAT,LandPlane,1/Piston,"BRADLEY, BA-100 Aerobat"
BBIR,LandPlane,1/Piston,"HOVEY, Beta Bird"
BCA3,LandPlane,1/Piston,"BUHL, CA-3 Sport Airsedan"
BCAT,LandPlane,1/Piston,"GRUMMAN, F8F Bearcat"
BCS1,LandPlane,2/Jet,"AIRBUS, A-220-100"
BCS3,LandPlane,2/Jet,"AIRBUS, A-220-300"
BD10,LandPlane,1/Jet,"BEDE, BD-10"
BD12,LandPlane,1/Piston,"BEDE, BD-12"
BD17,LandPlane,1/Piston,"BEDE, BD-17 Nuggett"
BD4,LandPlane,1/Piston,"BEDE, BD-4"
BD5,LandPlane,1/Piston,"BEDE, Micro (BD-5B/D/G)"
BD5J,LandPlane,1/Jet,"BEDE, BD-5J Micro"
BD5T,LandPlane,1/Turboprop/Turboshaft,"BEDE, BD-5TP Micro"
BDOG,LandPlane,1/Piston,"SCOTTISH AVIATION, SA-3 Bulldog"
BE10,LandPlane,2/Turboprop/Turboshaft,"BEECH, 100 King Air"
BE12,Amphibian,2/Turboprop/Turboshaft,"BERIEV, Be-12 Tchaika"
BE17,LandPlane,1/Piston,"BEECH, 17 Staggerwing"
BE18,LandPlane,2/Piston,"BEECH, 18 (piston)"
BE19,LandPlane,1/Piston,"BEECH, 19 Musketeer Sport"
BE20,LandPlane,2/Turboprop/Turboshaft,"BEECHCRAFT, 200 King Air 250"
BE22,LandPlane,1/Turboprop/Turboshaft,"BEECHCRAFT, 220 Denali"
BE23,LandPlane,1/Piston,"BEECH, 23 Musketeer"
BE24,LandPlane,1/Piston,"BEECH, 24 Musketeer Super"
BE30,LandPlane,2/Turboprop/Turboshaft,"RAYTHEON, 300 Super King Air"
BE32,LandPlane,2/Turboprop/Turboshaft,"BERIEV, Be-32"
BE33,LandPlane,1/Piston,"BEECH, 33 Bonanza"
BE35,LandPlane,1/Piston,"BEECH, 35 Bonanza"
BE36,LandPlane,1/Piston,"BEECH, 36 Bonanza 36"
BE40,LandPlane,2/Jet,"RAYTHEON, Hawker 400XP"
BE4W,LandPlane,2/Jet,"RAYTHEON, Hawker 400XT"
BE50,LandPlane,2/Piston,"BEECH, 50 Twin Bonanza"
BE55,LandPlane,2/Piston,"BEECH, 55 Baron"
BE56,LandPlane,2/Piston,"BEECH, 56 Turbo Baron"
BE58,LandPlane,2/Piston,"RAYTHEON, 58 Baron"
BE60,LandPlane,2/Piston,"BEECH, 60 Duke"
BE65,LandPlane,2/Piston,"BEECH, 65 Queen Air"
BE70,LandPlane,2/Piston,"BEECH, 70 Queen Air"
BE76,LandPlane,2/Piston,"BEECH, 76 Duchess"
BE77,LandPlane,1/Piston,"BEECH, 77 Skipper"
BE80,LandPlane,2/Piston,"BEECH, 80 Queen Air"
BE88,LandPlane,2/Piston,"BEECH, 88 Queen Air"
BE95,LandPlane,2/Piston,"BEECH, 95 Travel Air"
BE99,LandPlane,2/Turboprop/Turboshaft,"BEECH, 99 Airliner"
BE9L,LandPlane,2/Turboprop/Turboshaft,"BEECH, 90 King Air"
